time_stamp, average time, incremental time, search time,fov check time, total time, alpha_bal, alpha_del
900.19982452,0.00392987,0.00001462,0.00000520,2896.00000000,0.00044198,0.000000,0.000000
900.29966687,0.00391257,0.00005721,0.00000239,2901.00000000,0.00031546,0.000000,0.000000
900.39949827,0.00389626,0.00002936,0.00000458,2925.00000000,0.00048797,0.000000,0.000000
900.49934663,0.00387975,0.00002738,0.00000341,2932.00000000,0.00041173,0.000000,0.000000
900.59998275,0.00386372,0.00005140,0.00000158,2940.00000000,0.00048187,0.000000,0.000000
900.69982365,0.00384902,0.00007062,0.00000164,2947.00000000,0.00073218,0.000000,0.000000
900.79966381,0.00383570,0.00018399,0.00000142,2966.00000000,0.00099908,0.000000,0.000000
900.89950525,0.00382004,0.00005839,0.00000137,2994.00000000,0.00046756,0.000000,0.000000
900.99934801,0.00380768,0.00010978,0.00000356,3017.00000000,0.00115090,0.000000,0.000000
901.09999379,0.00379459,0.00011160,0.00000175,3019.00000000,0.00096675,0.000000,0.000000
901.19982783,0.00379352,0.00025212,0.00000187,3030.00000000,0.00356081,0.000000,0.000000
901.29967510,0.00378034,0.00012855,0.00000152,3050.00000000,0.00090816,0.000000,0.000000
901.39951956,0.00377004,0.00045868,0.00000171,3074.00000000,0.00151518,0.000000,0.000000
901.49935744,0.00375917,0.00042749,0.00000140,3123.00000000,0.00136641,0.000000,0.000000
901.59999228,0.00375438,0.00104457,0.00000162,3191.00000000,0.00269651,0.000000,0.000000
901.69981818,0.00375078,0.00089964,0.00000136,3310.00000000,0.00295146,0.000000,0.000000
901.79965926,0.00375661,0.00216849,0.00000212,3579.00000000,0.00505705,0.000000,0.000000
901.89949788,0.00375714,0.00122501,0.00000167,3703.00000000,0.00387453,0.000000,0.000000
901.99934888,0.00376195,0.00177672,0.00000176,3989.00000000,0.00484481,0.000000,0.000000
902.09997524,0.00376237,0.00098106,0.00000175,4164.00000000,0.00385782,0.000000,0.000000
902.19981192,0.00376298,0.00082754,0.00000176,4376.00000000,0.00390236,0.000000,0.000000
902.29966141,0.00376810,0.00125071,0.00000162,4618.00000000,0.00493333,0.000000,0.000000
902.39950089,0.00377548,0.00098793,0.00000239,4796.00000000,0.00546552,0.000000,0.000000
902.49933403,0.00378540,0.00116288,0.00000185,4963.00000000,0.00606891,0.000000,0.000000
902.59996789,0.00380780,0.00368793,0.00000194,5068.00000000,0.00898116,0.000000,0.000000
902.69981161,0.00384248,0.00385454,0.00000267,5231.00000000,0.01188729,0.000000,0.000000
902.79965061,0.00384621,0.00117597,0.00000160,5392.00000000,0.00471681,0.000000,0.000000
